place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,above_trend
"""4055000""","""Oklahoma City""","""Oklahoma City, OK,Shawnee, OK""",498.64,613222.71,233121.11,388283.39,50.0,60.0,48.0,26.0,32.0,25.0,25.0,28.0,24.0,8.78,20.43,1.77,2.0,2.0,21327.0,19106.0,21277.0,1.0,1.0,1.0,12671.0,11323.0,12682.0,9630.0,8595.0,9647.0,3019.0,2704.0,3011.0,22.0,24.0,23.0,26.0,29.0,27.0,2.6,5.1,1.79,0.6,16433.0,68.0,24701.0,89.0,27.0,53.0,2358,1107.0,1143.0,816.0,59.0,41.0,0
"""4075000""","""Tulsa""","""Tulsa, OK""",303.84,397717.73,164173.25,126042.6,49.0,58.0,46.0,25.0,32.0,23.0,24.0,27.0,23.0,8.13,21.29,1.67,1.0,2.0,20022.0,17890.0,20311.0,2.0,2.0,2.0,11974.0,10646.0,12196.0,9109.0,8080.0,9290.0,2834.0,2532.0,2875.0,31.0,34.0,31.0,31.0,34.0,32.0,5.1,5.7,3.71,1.3,18079.0,63.0,29516.0,90.0,15.0,104.0,1379,1053.0,1124.0,799.0,52.0,48.0,0
"""4159000""","""Portland""","""Portland-Vancouver-Hillsboro, OR-WA""",435.04,609368.31,253519.13,85395.24,48.0,57.0,53.0,29.0,36.0,32.0,19.0,21.0,21.0,6.65,38.27,1.54,1.0,2.0,16355.0,14479.0,16358.0,13.0,13.0,13.0,11751.0,10009.0,11234.0,8814.0,7383.0,8293.0,2624.0,2322.0,2623.0,313.0,305.0,318.0,279.0,272.0,283.0,6.0,6.8,6.72,2.97,37908.0,57.0,64420.0,92.0,6.0,208.0,981,1456.0,1690.0,1011.0,53.0,47.0,0
"""4164900""","""Salem""","""Salem, OR""",86.17,150685.07,54480.48,31082.81,52.0,61.0,48.0,28.0,35.0,25.0,24.0,26.0,23.0,7.82,24.2,1.64,1.0,2.0,19247.0,17074.0,19433.0,5.0,5.0,5.0,12087.0,10333.0,12287.0,8921.0,7518.0,9096.0,3086.0,2739.0,3116.0,79.0,76.0,75.0,96.0,92.0,91.0,5.4,5.5,3.89,1.75,15949.0,60.0,23457.0,89.0,12.0,146.0,1140,1141.0,1367.0,872.0,52.0,48.0,0
"""4260000""","""Philadelphia""","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",1336.0,1555072.0,581050.0,85873.82,36.0,43.0,41.0,22.0,27.0,25.0,15.0,16.0,17.0,4.82,64.69,1.2,1.0,1.0,13238.0,11033.0,13039.0,28.0,27.0,28.0,9520.0,7986.0,8947.0,6872.0,5695.0,6329.0,1955.0,1629.0,1925.0,693.0,662.0,693.0,494.0,472.0,494.0,8.3,9.0,13.7,6.77,75609.0,8.0,99736.0,91.0,4.0,292.0,830,1120.0,1127.0,877.0,53.0,47.0,0
"""4261000""","""Pittsburgh""","""Pittsburgh, PA""",355.0,305928.0,132468.0,35440.77,41.0,49.0,41.0,23.0,29.0,22.0,18.0,20.0,19.0,5.72,37.55,1.32,1.0,1.0,14667.0,13163.0,15443.0,12.0,12.0,12.0,9576.0,8358.0,10105.0,7169.0,6176.0,7576.0,2166.0,1943.0,2280.0,241.0,238.0,249.0,153.0,152.0,159.0,7.2,9.3,8.16,3.74,38372.0,45.0,73461.0,90.0,4.0,328.0,724,1004.0,1064.0,814.0,48.0,52.0,0
"""4459000""","""Providence""","""Providence-Warwick, RI-MA""",154.0,178680.0,61481.0,11776.03,42.0,50.0,45.0,25.0,31.0,26.0,17.0,19.0,18.0,5.69,43.57,1.38,1.0,1.0,14768.0,12865.0,14921.0,10.0,10.0,11.0,9798.0,8538.0,9822.0,7490.0,6511.0,7485.0,2155.0,1877.0,2177.0,154.0,150.0,159.0,143.0,140.0,148.0,8.2,8.8,12.41,5.22,39941.0,24.0,61996.0,90.0,4.0,388.0,653,1189.0,1411.0,895.0,35.0,65.0,0
"""4659020""","""Sioux Falls""","""Sioux Falls, SD""",103.3,153241.57,61263.29,47966.11,43.0,51.0,45.0,22.0,27.0,23.0,21.0,24.0,22.0,8.67,21.29,1.71,2.0,2.0,21066.0,18692.0,20565.0,2.0,2.0,2.0,12296.0,10901.0,11891.0,9290.0,8234.0,8954.0,2982.0,2646.0,2911.0,24.0,22.0,26.0,32.0,29.0,35.0,4.6,8.2,3.26,1.28,13455.0,58.0,24417.0,87.0,13.0,89.0,1312,1046.0,1066.0,691.0,60.0,40.0,0
"""4714000""","""Chattanooga""","""Chattanooga, TN-GA""",130.75,175705.39,70381.45,91560.95,51.0,59.0,45.0,26.0,33.0,23.0,25.0,27.0,23.0,8.31,11.13,1.61,1.0,2.0,20887.0,18807.0,21473.0,1.0,2.0,1.0,11771.0,10079.0,12220.0,8772.0,7364.0,9139.0,2956.0,2663.0,3039.0,43.0,52.0,41.0,29.0,35.0,28.0,4.8,7.7,3.02,0.77,9994.0,62.0,19065.0,87.0,24.0,84.0,1537,1019.0,1148.0,736.0,54.0,46.0,0
"""4740000""","""Knoxville""","""Knoxville, TN""",117.85,189625.44,82911.69,63057.46,50.0,58.0,43.0,25.0,31.0,21.0,25.0,26.0,22.0,7.73,14.6,1.56,1.0,2.0,19300.0,17361.0,20297.0,3.0,3.0,2.0,11278.0,9634.0,11980.0,8513.0,7140.0,9076.0,2732.0,2458.0,2873.0,33.0,36.0,31.0,48.0,53.0,46.0,5.3,6.5,2.97,1.31,14541.0,57.0,23411.0,88.0,19.0,101.0,1359,950.0,1043.0,777.0,48.0,52.0,0
"""4748000""","""Memphis""","""Memphis, TN-MS-AR""",500.72,655043.96,249153.13,203114.28,50.0,59.0,45.0,26.0,33.0,23.0,24.0,26.0,22.0,7.8,19.74,1.58,1.0,2.0,19799.0,17773.0,19791.0,3.0,3.0,3.0,11465.0,9742.0,11588.0,8616.0,7176.0,8741.0,2802.0,2516.0,2801.0,47.0,50.0,46.0,46.0,49.0,45.0,5.0,8.4,3.43,1.23,17612.0,63.0,26991.0,87.0,14.0,107.0,1661,1047.0,1060.0,844.0,49.0,51.0,0
"""4752006""","""Nashville-Davidson metropolitan government (balance)""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",451.17,632755.38,253918.07,304596.84,48.0,57.0,48.0,26.0,33.0,26.0,22.0,25.0,22.0,8.23,17.71,1.67,1.0,2.0,20433.0,18127.0,20292.0,3.0,3.0,3.0,12051.0,10725.0,11959.0,9097.0,8101.0,9023.0,2892.0,2566.0,2872.0,61.0,58.0,63.0,48.0,46.0,49.0,3.2,7.5,2.23,0.83,15461.0,53.0,30922.0,88.0,39.0,55.0,2661,1177.0,1231.0,887.0,54.0,46.0,0
"""4803000""","""Amarillo""","""Amarillo, TX""",159.55,189297.53,71821.79,64007.39,49.0,58.0,46.0,24.0,31.0,23.0,25.0,28.0,23.0,8.77,22.4,1.8,2.0,2.0,21612.0,19343.0,21528.0,1.0,1.0,1.0,12614.0,11256.0,12626.0,9773.0,8712.0,9796.0,2839.0,2541.0,2828.0,2.0,3.0,2.0,4.0,5.0,4.0,4.8,3.7,3.01,1.12,13143.0,73.0,17089.0,89.0,14.0,98.0,1421,1028.0,1024.0,729.0,61.0,39.0,0
"""4804000""","""Arlington""","""Dallas-Fort Worth-Arlington, TX""",220.56,376832.0,132590.35,61373.73,45.0,54.0,49.0,24.0,30.0,27.0,21.0,23.0,22.0,8.76,29.08,1.78,2.0,2.0,21273.0,18651.0,20228.0,1.0,1.0,1.0,12536.0,11253.0,11971.0,9708.0,8778.0,9282.0,2795.0,2450.0,2657.0,34.0,25.0,31.0,29.0,21.0,27.0,5.5,6.3,6.4,2.16,25938.0,62.0,34264.0,90.0,12.0,147.0,1083,1210.0,1213.0,939.0,56.0,44.0,0
"""4805000""","""Austin""","""Austin-Round Rock, TX""",495.42,867167.66,344305.91,200141.47,47.0,55.0,54.0,28.0,35.0,33.0,19.0,21.0,21.0,7.68,25.66,1.7,2.0,2.0,19082.0,16852.0,18405.0,5.0,5.0,5.0,12264.0,10498.0,11288.0,9683.0,8215.0,8794.0,2508.0,2214.0,2418.0,74.0,69.0,76.0,108.0,101.0,111.0,5.2,6.2,3.87,1.72,25409.0,47.0,48153.0,91.0,20.0,86.0,1607,1464.0,1581.0,1080.0,44.0,56.0,0
"""4810768""","""Brownsville""","""Brownsville-Harlingen, TX""",99.81,183730.03,52269.46,84683.42,68.0,80.0,43.0,32.0,40.0,20.0,36.0,39.0,23.0,9.37,19.89,1.72,2.0,2.0,22343.0,20086.0,21511.0,2.0,2.0,2.0,11823.0,10508.0,12398.0,8861.0,7837.0,9547.0,2936.0,2640.0,2826.0,26.0,32.0,25.0,40.0,50.0,40.0,3.6,5.9,3.06,0.62,10903.0,70.0,13795.0,86.0,17.0,46.0,2160,891.0,916.0,655.0,63.0,37.0,0
"""4817000""","""Corpus Christi""","""Corpus Christi, TX,Kingsville, TX""",213.86,311377.83,113156.64,111654.8,52.0,62.0,48.0,28.0,35.0,26.0,24.0,27.0,23.0,8.72,25.04,1.75,2.0,2.0,20885.0,18644.0,20627.0,4.0,3.0,3.0,12298.0,10958.0,12239.0,9523.0,8477.0,9497.0,2744.0,2449.0,2710.0,31.0,31.0,31.0,98.0,98.0,98.0,4.7,4.3,6.86,1.01,14983.0,67.0,15795.0,88.0,16.0,78.0,2426,1159.0,1208.0,914.0,56.0,44.0,0
"""4819000""","""Dallas""","""Dallas-Fort Worth-Arlington, TX""",907.84,1267831.51,479385.47,218558.31,44.0,52.0,48.0,25.0,31.0,28.0,19.0,21.0,20.0,6.86,37.5,1.63,1.0,2.0,17769.0,15609.0,16888.0,10.0,9.0,9.0,11444.0,10132.0,10881.0,8883.0,7865.0,8437.0,2334.0,2051.0,2219.0,226.0,217.0,225.0,226.0,217.0,225.0,6.0,6.6,7.02,2.19,34732.0,46.0,65797.0,92.0,11.0,140.0,1090,1249.0,1160.0,906.0,43.0,57.0,0
"""4824000""","""El Paso""","""El Paso, TX""",423.52,651713.63,214195.22,164415.09,58.0,67.0,44.0,28.0,35.0,22.0,30.0,32.0,23.0,8.67,25.57,1.76,2.0,2.0,21289.0,19028.0,20352.0,4.0,4.0,3.0,12452.0,10632.0,12233.0,9570.0,8045.0,9480.0,2797.0,2501.0,2674.0,85.0,87.0,79.0,122.0,124.0,113.0,3.9,4.5,4.44,1.3,16050.0,67.0,20960.0,89.0,15.0,95.0,1466,977.0,966.0,767.0,59.0,41.0,0
"""4827000""","""Fort Worth""","""Dallas-Fort Worth-Arlington, TX""",507.2,790157.34,271419.94,217929.78,46.0,54.0,50.0,24.0,31.0,27.0,21.0,24.0,23.0,8.67,23.34,1.84,2.0,2.0,21383.0,18945.0,20405.0,3.0,3.0,3.0,12885.0,11525.0,12298.0,10011.0,8975.0,9553.0,2809.0,2489.0,2681.0,65.0,61.0,65.0,56.0,53.0,56.0,4.4,4.6,4.33,1.25,21128.0,68.0,26640.0,90.0,14.0,103.0,1376,1222.0,1215.0,913.0,57.0,43.0,1
"""4829000""","""Garland""","""Dallas-Fort Worth-Arlington, TX""",145.02,235849.08,75523.38,36513.67,46.0,54.0,50.0,25.0,31.0,27.0,21.0,24.0,23.0,8.73,25.2,1.84,2.0,2.0,20572.0,18249.0,19635.0,5.0,4.0,5.0,12816.0,11383.0,12214.0,10003.0,8877.0,9524.0,2703.0,2397.0,2579.0,110.0,109.0,111.0,111.0,110.0,112.0,5.3,5.2,4.75,2.07,28044.0,71.0,33234.0,91.0,9.0,158.0,945,1225.0,1260.0,845.0,62.0,38.0,0
"""4830464""","""Grand Prairie""","""Dallas-Fort Worth-Arlington, TX""",99.74,178495.06,57436.97,46222.4,47.0,56.0,51.0,26.0,32.0,28.0,22.0,24.0,23.0,9.66,25.38,1.84,2.0,2.0,22267.0,19636.0,21225.0,1.0,1.0,1.0,12986.0,11672.0,12412.0,10035.0,9074.0,9600.0,2925.0,2580.0,2788.0,26.0,18.0,24.0,25.0,18.0,23.0,4.6,5.4,4.49,1.24,20207.0,68.0,25098.0,90.0,13.0,89.0,1309,1278.0,1256.0,900.0,62.0,38.0,1
"""4835000""","""Houston""","""Houston-The Woodlands-Sugar Land, TX""",1362.88,2356541.18,857438.35,402751.32,45.0,53.0,48.0,25.0,31.0,28.0,20.0,22.0,21.0,7.31,31.45,1.7,2.0,2.0,18478.0,16277.0,17385.0,7.0,7.0,7.0,11749.0,10422.0,11091.0,9243.0,8206.0,8728.0,2384.0,2100.0,2243.0,121.0,116.0,120.0,140.0,133.0,138.0,6.1,5.7,9.41,2.13,34884.0,48.0,66097.0,93.0,10.0,170.0,1057,1242.0,1239.0,919.0,46.0,54.0,0
"""4837000""","""Irving""","""Dallas-Fort Worth-Arlington, TX""",162.06,224901.17,82168.43,42895.64,43.0,51.0,47.0,24.0,30.0,26.0,19.0,21.0,20.0,7.65,36.18,1.65,1.0,2.0,18628.0,16369.0,17709.0,5.0,5.0,5.0,11558.0,10240.0,10984.0,8989.0,7976.0,8537.0,2447.0,2150.0,2326.0,122.0,114.0,121.0,123.0,115.0,123.0,6.5,6.3,6.04,1.92,26784.0,40.0,56136.0,92.0,11.0,121.0,1123,1188.0,1127.0,911.0,38.0,62.0,0
"""4841464""","""Laredo""","""Laredo, TX""",128.6,231161.72,61830.44,62577.1,65.0,77.0,46.0,33.0,42.0,24.0,32.0,35.0,22.0,9.21,24.75,1.78,2.0,2.0,22476.0,20213.0,20529.0,4.0,4.0,3.0,12266.0,10913.0,12087.0,9173.0,8108.0,9262.0,2954.0,2656.0,2697.0,140.0,149.0,128.0,135.0,144.0,124.0,3.3,6.7,3.42,0.99,12210.0,66.0,15567.0,87.0,17.0,79.0,2717,1080.0,1136.0,780.0,61.0,39.0,0
"""4845000""","""Lubbock""","""Lubbock, TX""",170.68,235295.49,88562.85,78486.07,55.0,64.0,47.0,28.0,36.0,24.0,27.0,29.0,23.0,8.49,23.75,1.73,2.0,2.0,20695.0,18481.0,20660.0,2.0,2.0,2.0,12221.0,10505.0,12349.0,9408.0,7980.0,9537.0,2719.0,2429.0,2714.0,94.0,97.0,98.0,83.0,84.0,86.0,4.7,3.8,2.74,1.13,15514.0,66.0,21928.0,90.0,14.0,92.0,1345,1088.0,1056.0,766.0,53.0,47.0,0
"""4856000""","""Pasadena""","""Houston-The Woodlands-Sugar Land, TX""",85.19,151019.35,48555.63,27856.94,43.0,51.0,47.0,22.0,27.0,24.0,21.0,24.0,22.0,8.74,27.12,1.81,2.0,2.0,21644.0,19028.0,20360.0,1.0,1.0,1.0,12717.0,11429.0,12068.0,9858.0,8919.0,9380.0,2843.0,2499.0,2674.0,15.0,11.0,14.0,18.0,13.0,16.0,5.6,5.0,8.7,1.74,23959.0,59.0,32517.0,91.0,10.0,175.0,1091,1088.0,1083.0,820.0,54.0,46.0,0
"""4858016""","""Plano""","""Dallas-Fort Worth-Arlington, TX""",180.02,277619.24,105355.72,45871.94,55.0,66.0,60.0,34.0,43.0,38.0,21.0,23.0,22.0,8.58,27.27,1.8,2.0,2.0,20626.0,18123.0,19634.0,3.0,3.0,3.0,12552.0,11187.0,11969.0,9815.0,8781.0,9363.0,2710.0,2381.0,2579.0,28.0,25.0,27.0,27.0,25.0,27.0,5.4,5.9,6.73,2.3,27576.0,64.0,40973.0,91.0,9.0,186.0,849,1712.0,1772.0,988.0,61.0,39.0,0
"""4865000""","""San Antonio""","""San Antonio-New Braunfels, TX""",880.8,1416915.15,489226.26,295130.96,48.0,56.0,46.0,25.0,31.0,24.0,23.0,26.0,22.0,8.29,25.33,1.76,2.0,2.0,20269.0,18103.0,19495.0,4.0,4.0,4.0,12285.0,10892.0,11875.0,9561.0,8453.0,9254.0,2663.0,2378.0,2561.0,61.0,61.0,60.0,95.0,96.0,94.0,5.0,5.4,3.56,1.66,24126.0,65.0,34577.0,90.0,19.0,102.0,1815,1096.0,1123.0,856.0,54.0,46.0,0
"""4967000""","""Salt Lake City""","""Salt Lake City, UT""",141.48,192675.4,75918.92,71152.18,43.0,50.0,47.0,23.0,28.0,26.0,20.0,21.0,20.0,7.21,34.86,1.66,1.0,2.0,19138.0,16959.0,17436.0,11.0,11.0,11.0,12524.0,10667.0,10994.0,9454.0,7930.0,8182.0,2790.0,2471.0,2541.0,280.0,265.0,272.0,252.0,239.0,245.0,4.5,8.4,3.95,1.07,26316.0,49.0,58750.0,91.0,14.0,58.0,2537,1181.0,1343.0,848.0,48.0,52.0,0
"""5103000""","""Arlington""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",181.0,223945.0,98441.0,16634.73,40.0,49.0,66.0,30.0,37.0,51.0,11.0,12.0,15.0,5.05,69.73,1.39,1.0,1.0,13494.0,11415.0,12290.0,26.0,25.0,26.0,9848.0,8575.0,8280.0,7911.0,6930.0,6511.0,1871.0,1582.0,1703.0,67.0,62.0,66.0,33.0,31.0,33.0,7.0,9.8,10.38,5.92,67131.0,28.0,120016.0,90.0,9.0,228.0,929,2280.0,2297.0,1762.0,44.0,56.0,0
"""5116000""","""Chesapeake""","""Virginia Beach-Norfolk-Newport News, VA-NC""",122.0,230601.0,81518.0,218112.01,55.0,66.0,59.0,33.0,41.0,36.0,22.0,25.0,24.0,9.5,17.52,1.84,2.0,2.0,22114.0,19502.0,21800.0,2.0,2.0,2.0,13083.0,11710.0,12821.0,9992.0,8985.0,9772.0,3064.0,2702.0,3021.0,27.0,23.0,28.0,26.0,22.0,26.0,1.5,6.4,1.28,0.37,15059.0,67.0,19117.0,88.0,44.0,32.0,3867,1616.0,1664.0,1124.0,70.0,30.0,1
"""5156000""","""Newport News""","""Virginia Beach-Norfolk-Newport News, VA-NC""",127.0,181323.0,69073.0,44066.94,45.0,53.0,49.0,25.0,31.0,27.0,20.0,22.0,22.0,8.03,22.5,1.67,1.0,2.0,19963.0,17662.0,19650.0,4.0,4.0,4.0,11909.0,10567.0,11632.0,9088.0,8067.0,8852.0,2766.0,2447.0,2723.0,55.0,52.0,57.0,53.0,49.0,55.0,6.3,7.1,4.97,1.57,15548.0,52.0,18725.0,87.0,12.0,125.0,1418,1217.0,1270.0,963.0,50.0,50.0,0
"""5157000""","""Norfolk""","""Virginia Beach-Norfolk-Newport News, VA-NC""",188.0,245452.0,87045.0,34614.57,45.0,53.0,48.0,26.0,32.0,28.0,19.0,21.0,20.0,7.13,29.14,1.55,1.0,2.0,17725.0,15671.0,17412.0,7.0,7.0,8.0,11022.0,9706.0,10742.0,8443.0,7414.0,8202.0,2456.0,2172.0,2413.0,123.0,120.0,127.0,117.0,114.0,121.0,7.3,8.6,7.29,2.51,23177.0,50.0,29599.0,87.0,5.0,250.0,800,1271.0,1426.0,1043.0,43.0,57.0,0
"""5167000""","""Richmond""","""Richmond, VA""",161.0,213735.0,87224.0,38287.0,41.0,49.0,46.0,24.0,30.0,27.0,18.0,19.0,19.0,6.37,24.47,1.47,1.0,1.0,16645.0,14674.0,16472.0,10.0,10.0,11.0,10509.0,9262.0,10299.0,8008.0,7045.0,7815.0,2307.0,2033.0,2283.0,195.0,184.0,201.0,165.0,155.0,170.0,6.5,9.2,6.45,2.28,23649.0,49.0,45546.0,88.0,8.0,175.0,931,1193.0,1400.0,879.0,42.0,58.0,0
"""5182000""","""Virginia Beach""","""Virginia Beach-Norfolk-Newport News, VA-NC""",301.0,448290.0,166242.0,159839.35,54.0,65.0,59.0,34.0,42.0,37.0,21.0,23.0,22.0,8.61,28.03,1.71,2.0,2.0,20285.0,17759.0,19980.0,4.0,4.0,4.0,12191.0,10819.0,11929.0,9300.0,8285.0,9078.0,2811.0,2461.0,2769.0,81.0,73.0,82.0,77.0,70.0,78.0,3.1,7.8,2.51,1.04,19923.0,55.0,21808.0,87.0,18.0,86.0,2926,1651.0,1651.0,1212.0,64.0,36.0,0
"""5363000""","""Seattle""","""Seattle-Tacoma-Bellevue, WA""",477.65,653470.57,296805.25,53656.4,46.0,54.0,59.0,30.0,37.0,39.0,16.0,18.0,20.0,5.93,57.67,1.52,1.0,1.0,15083.0,13187.0,14856.0,14.0,13.0,14.0,11609.0,9880.0,10807.0,8703.0,7310.0,7923.0,2530.0,2211.0,2491.0,377.0,359.0,393.0,226.0,215.0,235.0,7.0,6.9,10.66,5.53,49727.0,44.0,107363.0,93.0,5.0,284.0,716,1734.0,2057.0,1190.0,46.0,54.0,0
"""5367000""","""Spokane""","""Spokane-Spokane Valley, WA""",169.26,204624.06,85379.29,43989.19,49.0,56.0,46.0,26.0,32.0,23.0,23.0,25.0,22.0,6.97,23.58,1.55,1.0,2.0,17347.0,15414.0,18444.0,7.0,7.0,7.0,11363.0,9687.0,12071.0,8412.0,7053.0,8942.0,2832.0,2517.0,3011.0,118.0,116.0,118.0,148.0,146.0,148.0,5.6,6.0,4.18,1.94,18960.0,66.0,24885.0,89.0,8.0,197.0,1058,1043.0,1104.0,791.0,55.0,45.0,0
"""5370000""","""Tacoma""","""Seattle-Tacoma-Bellevue, WA""",172.65,203135.66,78905.24,31831.79,41.0,48.0,52.0,23.0,29.0,30.0,18.0,19.0,22.0,7.53,28.81,1.66,1.0,2.0,18826.0,16767.0,18585.0,5.0,5.0,6.0,12680.0,10802.0,11817.0,9486.0,7948.0,8658.0,3075.0,2737.0,3034.0,120.0,116.0,124.0,55.0,54.0,57.0,6.4,8.1,5.5,2.48,22993.0,63.0,29673.0,88.0,10.0,168.0,954,1347.0,1448.0,1021.0,51.0,49.0,0
"""5374060""","""Vancouver""","""Portland-Vancouver-Hillsboro, OR-WA""",112.6,165369.2,65287.99,29984.15,46.0,53.0,50.0,24.0,31.0,27.0,21.0,23.0,23.0,7.71,25.73,1.7,2.0,2.0,19179.0,16899.0,19202.0,4.0,4.0,4.0,12916.0,11082.0,12349.0,9709.0,8250.0,9138.0,3132.0,2759.0,3135.0,75.0,73.0,76.0,60.0,58.0,60.0,5.8,4.9,4.68,2.18,23978.0,53.0,29137.0,91.0,14.0,149.0,1448,1228.0,1366.0,985.0,50.0,50.0,0
"""5548000""","""Madison""","""Madison, WI""",153.26,232835.84,99929.44,49167.05,44.0,52.0,50.0,25.0,31.0,29.0,19.0,20.0,21.0,7.48,36.32,1.59,1.0,2.0,18328.0,16290.0,18367.0,5.0,5.0,6.0,11738.0,9977.0,11150.0,9084.0,7616.0,8484.0,2595.0,2306.0,2600.0,59.0,55.0,66.0,65.0,61.0,74.0,6.1,7.4,6.09,2.03,18900.0,43.0,37990.0,89.0,11.0,110.0,1096,1298.0,1395.0,938.0,47.0,53.0,0
"""5553000""","""Milwaukee""","""Milwaukee-Waukesha-West Allis, WI""",570.73,599636.6,230830.92,61554.6,41.0,49.0,42.0,23.0,28.0,23.0,19.0,21.0,19.0,6.31,39.45,1.44,1.0,1.0,15919.0,14172.0,16122.0,10.0,10.0,10.0,10219.0,8941.0,10344.0,7814.0,6785.0,7905.0,2253.0,2006.0,2282.0,152.0,151.0,156.0,164.0,163.0,169.0,7.3,8.8,7.03,3.75,37741.0,41.0,51429.0,89.0,10.0,166.0,1026,1025.0,1215.0,796.0,42.0,58.0,0
